DROGARIA DE JESUS LTDA;;;;;;;
;Razão Consolidado ;;;;;Período: 01/01/2020 a 31/12/2024;
;;;;;;;
;;;;;;;
Data;Histórico;Contrap.;Chave;Débito;Crédito;Saldo;
Conta:;14154 - 2.1.1.01.001 - 6M BRASIL IMPORTACAO E EXPORTACAO LTDA;;;;;;
18/08/2023;NOTA FISCAL Nº 242704 ;3152;0823-00000735;;671,30;13.198,22C;
31/08/2023;NOTA FISCAL Nº 243343 ;3152;0823-00000734;;331,56;13.529,78C;
31/08/2023;NOTA FISCAL Nº 243343 ;3152;0823-00000736;;69,59;13.599,37C;
04/09/2023;NOTA FISCAL Nº 243769 ;3152;0923-00000734;;409,46;14.008,83C;
13/09/2023;NOTA FISCAL Nº 244531 ;3152;0923-00000731;;142,66;14.151,49C;
13/09/2023;NOTA FISCAL Nº 244531 ;3152;0923-00000735;;474,52;14.626,01C;
18/09/2023;NOTA FISCAL Nº 245076 ;3152;0923-00000732;;66,36;14.692,37C;
19/09/2023;NOTA FISCAL Nº 245174 ;3152;0923-00000733;;205,74;14.898,11C;
05/10/2023;NOTA FISCAL Nº 246351 ;3152;1023-00000589;;362,36;15.260,47C;
05/10/2023;NOTA FISCAL Nº 246351 ;3152;1023-00000591;;81,77;15.342,24C;
23/10/2023;NOTA FISCAL Nº 247643 ;3152;1023-00000588;;481,00;15.823,24C;
23/10/2023;NOTA FISCAL Nº 247643 ;3152;1023-00000592;;390,46;16.213,70C;
25/10/2023;NOTA FISCAL Nº 247765 ;3152;1023-00000590;;309,08;16.522,78C;
22/11/2023;NOTA FISCAL Nº 249804 ;3152;1123-00000448;;444,36;16.967,14C;
19/12/2023;NOTA FISCAL Nº 252195 ;3152;1223-00000217;;708,00;17.675,14C;
05/01/2024;NOTA FISCAL Nº 253154 ;3152;0124-00001074;;671,52;18.346,66C;
05/01/2024;NOTA FISCAL Nº 253154 ;3152;0124-00001075;;810,64;19.157,30C;
17/01/2024;PAGAMENTO DUPLICATA Nº 249804 ;92;0124-00000625;444,36;;18.712,94C;
16/02/2024;PAGAMENTO DUPLICATA Nº 252195 ;92;0224-00000595;710,82;;18.002,12C;
14/03/2024;PAGAMENTO DUPLICATA Nº 253154 ;92;0324-00000752;494,71;;17.507,41C;
21/03/2024;PAGAMENTO DUPLICATA Nº 253154 ;92;0324-00000753;498,67;;17.008,74C;
28/03/2024;PAGAMENTO DUPLICATA Nº 253154 ;92;0324-00000754;513,20;;16.495,54C;
18/06/2024;NOTA FISCAL Nº 266979 ;3152;0624-00001537;;1.845,15;18.340,69C;
21/06/2024;NOTA FISCAL Nº 267121 ;3152;0624-00001538;;901,84;19.242,53C;
17/08/2024;PAGAMENTO DUPLICATA Nº 267121 ;92;0824-00001157;907,84;;18.334,69C;
19/08/2024;PAGAMENTO DUPLICATA Nº 266979 ;92;0824-00001156;1.854,99;;16.479,70C;
30/08/2024;NOTA FISCAL Nº 273836 ;3152;0824-00001437;;154,67;16.634,37C;
