Conta:;14154 - 2.1.1.01.001 - 6M BRASIL IMPORTACAO E EXPORTACAO LTDA;;;;;
04/04/2023;NOTA FISCAL N§ 393510 ;3152;0423-00000841;;90,63;43.893,01C
05/04/2023;NOTA FISCAL N§ 396651 ;3152;0423-00000835;;39,32;43.932,33C
05/04/2023;NOTA FISCAL N§ 396652 ;3152;0423-00000839;;114,98;44.047,31C
08/04/2023;NOTA FISCAL N§ 403877 ;3152;0423-00000824;;63,67;44.110,98C
10/04/2023;NOTA FISCAL N§ 399975 ;3152;0423-00000810;;167,61;44.278,59C
10/04/2023;NOTA FISCAL N§ 399972 ;3152;0423-00000815;;154,34;44.432,93C
10/04/2023;NOTA FISCAL N§ 399970 ;3152;0423-00000819;;121,6;44.554,53C
10/04/2023;NOTA FISCAL N§ 399971 ;3152;0423-00000821;;47,14;44.601,67C
10/04/2023;NOTA FISCAL N§ 399975 ;3152;0423-00000826;;51,41;44.653,08C
10/04/2023;NOTA FISCAL N§ 399977 ;3152;0423-00000828;;48,19;44.701,27C
10/04/2023;NOTA FISCAL N§ 399973 ;3152;0423-00000836;;148,26;44.849,53C
10/04/2023;NOTA FISCAL N§ 399976 ;3152;0423-00000842;;421,79;45.271,32C
10/04/2023;NOTA FISCAL N§ 399974 ;3152;0423-00000845;;98,58;45.369,90C
10/04/2023;NOTA FISCAL N§ 399969 ;3152;0423-00000846;;17,76;45.387,66C
12/04/2023;NOTA FISCAL N§ 413309 ;3152;0423-00000820;;97,87;45.485,53C
12/04/2023;NOTA FISCAL N§ 413307 ;3152;0423-00000832;;50,71;45.536,24C
12/04/2023;NOTA FISCAL N§ 413308 ;3152;0423-00000833;;364,53;45.900,77C
12/04/2023;NOTA FISCAL N§ 413306 ;3152;0423-00000840;;165,26;46.066,03C
13/04/2023;NOTA FISCAL N§ 415746 ;3152;0423-00000837;;139,54;46.205,57C
16/04/2023;NOTA FISCAL N§ 422827 ;3152;0423-00000822;;54,06;46.259,63C
20/04/2023;NOTA FISCAL N§ 435287 ;3152;0423-00000823;;114,44;46.374,07C
20/04/2023;NOTA FISCAL N§ 435286 ;3152;0423-00000834;;35,4;46.409,47C
22/04/2023;NOTA FISCAL N§ 438950 ;3152;0423-00000811;;74,75;46.484,22C
22/04/2023;NOTA FISCAL N§ 438949 ;3152;0423-00000816;;138,32;46.622,54C
22/04/2023;NOTA FISCAL N§ 438948 ;3152;0423-00000827;;164,44;46.786,98C
24/04/2023;NOTA FISCAL N§ 438947 ;3152;0423-00000830;;31,48;46.818,46C
25/04/2023;NOTA FISCAL N§ 443042 ;3152;0423-00000809;;126,62;46.945,08C
25/04/2023;NOTA FISCAL N§ 443041 ;3152;0423-00000814;;254,46;47.199,54C
25/04/2023;NOTA FISCAL N§ 443043 ;3152;0423-00000831;;143,78;47.343,32C
25/04/2023;NOTA FISCAL N§ 443044 ;3152;0423-00000838;;103,02;47.446,34C
25/04/2023;NOTA FISCAL N§ 443040 ;3152;0423-00000844;;430,71;47.877,05C
26/04/2023;NOTA FISCAL N§ 449041 ;3152;0423-00000817;;742,59;48.619,64C
27/04/2023;NOTA FISCAL N§ 452267 ;3152;0423-00000843;;742,59;49.362,23C
02/05/2023;NOTA FISCAL N§ 458417 ;3152;0523-00000875;;82,2;49.444,43C
02/05/2023;NOTA FISCAL N§ 458418 ;3152;0523-00000878;;201,72;49.646,15C
04/05/2023;NOTA FISCAL N§ 462028 ;3152;0523-00000853;;152,94;49.799,09C
04/05/2023;NOTA FISCAL N§ 465651 ;3152;0523-00000864;;128,94;49.928,03C
04/05/2023;NOTA FISCAL N§ 465650 ;3152;0523-00000866;;159,88;50.087,91C
04/05/2023;NOTA FISCAL N§ 462027 ;3152;0523-00000873;;35,52;50.123,43C
04/05/2023;NOTA FISCAL N§ 465649 ;3152;0523-00000882;;742,59;50.866,02C
05/05/2023;NOTA FISCAL N§ 469024 ;3152;0523-00000847;;109,16;50.975,18C
06/05/2023;NOTA FISCAL N§ 472265 ;3152;0523-00000849;;169,64;51.144,82C
06/05/2023;NOTA FISCAL N§ 472264 ;3152;0523-00000858;;92,12;51.236,94C
06/05/2023;NOTA FISCAL N§ 472263 ;3152;0523-00000889;;69,2;51.306,14C
10/05/2023;NOTA FISCAL N§ 477017 ;3152;0523-00000846;;185,18;51.491,32C
10/05/2023;NOTA FISCAL N§ 477016 ;3152;0523-00000863;;28,02;51.519,34C
10/05/2023;NOTA FISCAL N§ 477018 ;3152;0523-00000893;;84,82;51.604,16C
10/05/2023;NOTA FISCAL N§ 477019 ;3152;0523-00000897;;23,92;51.628,08C
11/05/2023;NOTA FISCAL N§ 481792 ;3152;0523-00000836;;239,55;51.867,63C
11/05/2023;NOTA FISCAL N§ 481793 ;3152;0523-00000837;;785,24;52.652,87C
11/05/2023;NOTA FISCAL N§ 486098 ;3152;0523-00000848;;171,64;52.824,51C
11/05/2023;NOTA FISCAL N§ 481793 ;3152;0523-00000870;;255,09;53.079,60C
11/05/2023;NOTA FISCAL N§ 481791 ;3152;0523-00000871;;173,73;53.253,33C
11/05/2023;NOTA FISCAL N§ 481794 ;3152;0523-00000892;;31,7;53.285,03C
12/05/2023;NOTA FISCAL N§ 486099 ;3152;0523-00000831;;253,82;53.538,85C
12/05/2023;NOTA FISCAL N§ 486100 ;3152;0523-00000887;;20,94;53.559,79C
18/05/2023;NOTA FISCAL N§ 502475 ;3152;0523-00000834;;140,87;53.700,66C
18/05/2023;NOTA FISCAL N§ 506246 ;3152;0523-00000865;;115,86;53.816,52C
18/05/2023;NOTA FISCAL N§ 506247 ;3152;0523-00000883;;55,98;53.872,50C
18/05/2023;NOTA FISCAL N§ 506248 ;3152;0523-00000886;;459,74;54.332,24C
18/05/2023;NOTA FISCAL N§ 502476 ;3152;0523-00000891;;169,68;54.501,92C
19/05/2023;NOTA FISCAL N§ 509353 ;3152;0523-00000844;;242,77;54.744,69C
20/05/2023;NOTA FISCAL N§ 513449 ;3152;0523-00000852;;154,26;54.898,95C
20/05/2023;NOTA FISCAL N§ 509354 ;3152;0523-00000872;;541,49;55.440,44C
26/05/2023;NOTA FISCAL N§ 522673 ;3152;0523-00000832;;190,2;55.630,64C
26/05/2023;NOTA FISCAL N§ 522679 ;3152;0523-00000838;;84,77;55.715,41C
26/05/2023;NOTA FISCAL N§ 522678 ;3152;0523-00000840;;26,6;55.742,01C
26/05/2023;NOTA FISCAL N§ 517376 ;3152;0523-00000841;;232,09;55.974,10C
26/05/2023;NOTA FISCAL N§ 525957 ;3152;0523-00000843;;449,79;56.423,89C
26/05/2023;NOTA FISCAL N§ 522674 ;3152;0523-00000845;;168,8;56.592,69C
26/05/2023;NOTA FISCAL N§ 517369 ;3152;0523-00000850;;52,6;56.645,29C
26/05/2023;NOTA FISCAL N§ 529820 ;3152;0523-00000854;;13,96;56.659,25C
26/05/2023;NOTA FISCAL N§ 517372 ;3152;0523-00000855;;105,09;56.764,34C
26/05/2023;NOTA FISCAL N§ 522680 ;3152;0523-00000856;;40,24;56.804,58C
26/05/2023;NOTA FISCAL N§ 525953 ;3152;0523-00000859;;41,53;56.846,11C
26/05/2023;NOTA FISCAL N§ 525952 ;3152;0523-00000860;;471,46;57.317,57C
26/05/2023;NOTA FISCAL N§ 522679 ;3152;0523-00000862;;40,24;57.357,81C
26/05/2023;NOTA FISCAL N§ 522672 ;3152;0523-00000867;;142,08;57.499,89C
26/05/2023;NOTA FISCAL N§ 517370 ;3152;0523-00000868;;126,6;57.626,49C
26/05/2023;NOTA FISCAL N§ 517374 ;3152;0523-00000869;;157,08;57.783,57C
26/05/2023;NOTA FISCAL N§ 517368 ;3152;0523-00000874;;15,69;57.799,26C
26/05/2023;NOTA FISCAL N§ 525956 ;3152;0523-00000876;;240,94;58.040,20C
26/05/2023;NOTA FISCAL N§ 517375 ;3152;0523-00000877;;192,59;58.232,79C
26/05/2023;NOTA FISCAL N§ 525954 ;3152;0523-00000879;;125,15;58.357,94C
26/05/2023;NOTA FISCAL N§ 522677 ;3152;0523-00000880;;158;58.515,94C
26/05/2023;NOTA FISCAL N§ 517371 ;3152;0523-00000884;;102,66;58.618,60C
26/05/2023;NOTA FISCAL N§ 522681 ;3152;0523-00000885;;14,06;58.632,66C
26/05/2023;NOTA FISCAL N§ 517373 ;3152;0523-00000888;;394,13;59.026,79C
26/05/2023;NOTA FISCAL N§ 522675 ;3152;0523-00000890;;23,13;59.049,92C
26/05/2023;NOTA FISCAL N§ 525955 ;3152;0523-00000894;;175,74;59.225,66C
26/05/2023;NOTA FISCAL N§ 525951 ;3152;0523-00000895;;225,33;59.450,99C
26/05/2023;NOTA FISCAL N§ 522676 ;3152;0523-00000896;;96,96;59.547,95C
30/05/2023;NOTA FISCAL N§ 535896 ;3152;0523-00000833;;518,93;60.066,88C
30/05/2023;NOTA FISCAL N§ 535895 ;3152;0523-00000835;;116,58;60.183,46C
30/05/2023;NOTA FISCAL N§ 535893 ;3152;0523-00000842;;475,34;60.658,80C
30/05/2023;NOTA FISCAL N§ 535896 ;3152;0523-00000851;;70,25;60.729,05C
30/05/2023;NOTA FISCAL N§ 535897 ;3152;0523-00000857;;208,32;60.937,37C
30/05/2023;NOTA FISCAL N§ 535894 ;3152;0523-00000861;;35,52;60.972,89C
30/05/2023;NOTA FISCAL N§ 535892 ;3152;0523-00000881;;475,34;61.448,23C
01/06/2023;NOTA FISCAL N§ 542520 ;3152;0623-00000806;;196,02;61.644,25C
01/06/2023;NOTA FISCAL N§ 539717 ;3152;0623-00000833;;53,78;61.698,03C
02/06/2023;NOTA FISCAL N§ 542519 ;3152;0623-00000793;;231,6;61.929,63C
02/06/2023;NOTA FISCAL N§ 542519 ;3152;0623-00000814;;187;62.116,63C
02/06/2023;NOTA FISCAL N§ 545614 ;3152;0623-00000830;;38,72;62.155,35C
06/06/2023;NOTA FISCAL N§ 548119 ;3152;0623-00000802;;668,85;62.824,20C
06/06/2023;NOTA FISCAL N§ 548120 ;3152;0623-00000816;;447,49;63.271,69C
06/06/2023;NOTA FISCAL N§ 548121 ;3152;0623-00000817;;397,03;63.668,72C
09/06/2023;NOTA FISCAL N§ 552687 ;3152;0623-00000780;;1.626,74;65.295,46C
09/06/2023;NOTA FISCAL N§ 563037 ;3152;0623-00000783;;54,84;65.350,30C
09/06/2023;NOTA FISCAL N§ 563036 ;3152;0623-00000788;;102,66;65.452,96C
09/06/2023;NOTA FISCAL N§ 563037 ;3152;0623-00000795;;3.361,47;68.814,43C
09/06/2023;NOTA FISCAL N§ 552688 ;3152;0623-00000799;;34,36;68.848,79C
09/06/2023;NOTA FISCAL N§ 548122 ;3152;0623-00000800;;475,34;69.324,13C
09/06/2023;NOTA FISCAL N§ 563038 ;3152;0623-00000803;;94,3;69.418,43C
09/06/2023;NOTA FISCAL N§ 558298 ;3152;0623-00000810;;32,04;69.450,47C
09/06/2023;NOTA FISCAL N§ 552683 ;3152;0623-00000823;;18,46;69.468,93C
09/06/2023;NOTA FISCAL N§ 552684 ;3152;0623-00000825;;200,5;69.669,43C
09/06/2023;NOTA FISCAL N§ 552685 ;3152;0623-00000827;;106,74;69.776,17C
09/06/2023;NOTA FISCAL N§ 552686 ;3152;0623-00000834;;29,4;69.805,57C
09/06/2023;NOTA FISCAL N§ 558299 ;3152;0623-00000835;;17,76;69.823,33C
13/06/2023;NOTA FISCAL N§ 570996 ;3152;0623-00000781;;102,66;69.925,99C
13/06/2023;NOTA FISCAL N§ 570995 ;3152;0623-00000801;;163,86;70.089,85C
13/06/2023;NOTA FISCAL N§ 570997 ;3152;0623-00000815;;1.845,49;71.935,34C
13/06/2023;NOTA FISCAL N§ 571000 ;3152;0623-00000818;;54,42;71.989,76C
13/06/2023;NOTA FISCAL N§ 570999 ;3152;0623-00000819;;36,37;72.026,13C
13/06/2023;NOTA FISCAL N§ 570998 ;3152;0623-00000824;;83,2;72.109,33C
16/06/2023;NOTA FISCAL N§ 576283 ;3152;0623-00000782;;110,76;72.220,09C
16/06/2023;NOTA FISCAL N§ 576282 ;3152;0623-00000786;;258,06;72.478,15C
16/06/2023;NOTA FISCAL N§ 576281 ;3152;0623-00000805;;91,04;72.569,19C
17/06/2023;NOTA FISCAL N§ 576284 ;3152;0623-00000797;;114,17;72.683,36C
17/06/2023;NOTA FISCAL N§ 580162 ;3152;0623-00000807;;89,79;72.773,15C
20/06/2023;NOTA FISCAL N§ 591850 ;3152;0623-00000792;;109,96;72.883,11C
20/06/2023;NOTA FISCAL N§ 591850 ;3152;0623-00000798;;664,83;73.547,94C
20/06/2023;NOTA FISCAL N§ 591851 ;3152;0623-00000804;;2,27;73.550,21C
20/06/2023;NOTA FISCAL N§ 591852 ;3152;0623-00000826;;603,25;74.153,46C
21/06/2023;NOTA FISCAL N§ 597342 ;3152;0623-00000796;;366,76;74.520,22C
22/06/2023;NOTA FISCAL N§ 597341 ;3152;0623-00000837;;131,52;74.651,74C
23/06/2023;NOTA FISCAL N§ 604277 ;3152;0623-00000785;;55,17;74.706,91C
23/06/2023;NOTA FISCAL N§ 604274 ;3152;0623-00000787;;223,86;74.930,77C
23/06/2023;NOTA FISCAL N§ 604276 ;3152;0623-00000789;;449,57;75.380,34C
23/06/2023;NOTA FISCAL N§ 600251 ;3152;0623-00000809;;452,48;75.832,82C
23/06/2023;NOTA FISCAL N§ 604278 ;3152;0623-00000812;;78,67;75.911,49C
23/06/2023;NOTA FISCAL N§ 604275 ;3152;0623-00000820;;20,22;75.931,71C
23/06/2023;NOTA FISCAL N§ 597340 ;3152;0623-00000822;;8,72;75.940,43C
23/06/2023;NOTA FISCAL N§ 604273 ;3152;0623-00000828;;14,4;75.954,83C
23/06/2023;NOTA FISCAL N§ 604276 ;3152;0623-00000829;;31,35;75.986,18C
23/06/2023;NOTA FISCAL N§ 604274 ;3152;0623-00000832;;16,15;76.002,33C
26/06/2023;NOTA FISCAL N§ 607581 ;3152;0623-00000808;;35,4;76.037,73C
26/06/2023;NOTA FISCAL N§ 607580 ;3152;0623-00000811;;234,36;76.272,09C
29/06/2023;NOTA FISCAL N§ 618296 ;3152;0623-00000790;;132,92;76.405,01C
30/06/2023;NOTA FISCAL N§ 620946 ;3152;0623-00000784;;61,07;76.466,08C
30/06/2023;NOTA FISCAL N§ 620944 ;3152;0623-00000791;;384,83;76.850,91C
30/06/2023;NOTA FISCAL N§ 620947 ;3152;0623-00000794;;159,32;77.010,23C
30/06/2023;NOTA FISCAL N§ 620945 ;3152;0623-00000813;;36,78;77.047,01C
30/06/2023;NOTA FISCAL N§ 620944 ;3152;0623-00000821;;260,56;77.307,57C
30/06/2023;NOTA FISCAL N§ 620946 ;3152;0623-00000831;;33,87;77.341,44C
30/06/2023;NOTA FISCAL N§ 620947 ;3152;0623-00000836;;101,13;77.442,57C
03/07/2023;NOTA FISCAL N§ 624023 ;3152;0723-00000805;;159,7;77.602,27C
03/07/2023;NOTA FISCAL N§ 624024 ;3152;0723-00000806;;680;78.282,27C
03/07/2023;NOTA FISCAL N§ 624025 ;3152;0723-00000814;;29,4;78.311,67C
03/07/2023;NOTA FISCAL N§ 624024 ;3152;0723-00000832;;42,83;78.354,50C
05/07/2023;NOTA FISCAL N§ 632264 ;3152;0723-00000802;;89,55;78.444,05C
05/07/2023;NOTA FISCAL N§ 632266 ;3152;0723-00000816;;184,59;78.628,64C
05/07/2023;NOTA FISCAL N§ 627615 ;3152;0723-00000823;;185,18;78.813,82C
05/07/2023;NOTA FISCAL N§ 632263 ;3152;0723-00000827;;452,52;79.266,34C
05/07/2023;NOTA FISCAL N§ 632265 ;3152;0723-00000831;;166,4;79.432,74C
05/07/2023;NOTA FISCAL N§ 632268 ;3152;0723-00000833;;58,18;79.490,92C
05/07/2023;NOTA FISCAL N§ 627616 ;3152;0723-00000834;;146,26;79.637,18C
05/07/2023;NOTA FISCAL N§ 632269 ;3152;0723-00000841;;223,83;79.861,01C
05/07/2023;NOTA FISCAL N§ 632264 ;3152;0723-00000845;;2.192,73;82.053,74C
05/07/2023;NOTA FISCAL N§ 632267 ;3152;0723-00000861;;330,08;82.383,82C
07/07/2023;NOTA FISCAL N§ 635730 ;3152;0723-00000843;;77,66;82.461,48C
07/07/2023;NOTA FISCAL N§ 635729 ;3152;0723-00000848;;211,52;82.673,00C
07/07/2023;NOTA FISCAL N§ 639863 ;3152;0723-00000853;;253,12;82.926,12C
09/07/2023;NOTA FISCAL N§ 643349 ;3152;0723-00000839;;115,11;83.041,23C
10/07/2023;NOTA FISCAL N§ 643350 ;3152;0723-00000835;;127,65;83.168,88C
10/07/2023;NOTA FISCAL N§ 643351 ;3152;0723-00000838;;178,16;83.347,04C
10/07/2023;NOTA FISCAL N§ 639864 ;3152;0723-00000851;;38,61;83.385,65C
12/07/2023;NOTA FISCAL N§ 647473 ;3152;0723-00000798;;76,89;83.462,54C
12/07/2023;NOTA FISCAL N§ 647474 ;3152;0723-00000800;;211,31;83.673,85C
12/07/2023;NOTA FISCAL N§ 647473 ;3152;0723-00000815;;150,77;83.824,62C
12/07/2023;NOTA FISCAL N§ 653039 ;3152;0723-00000837;;475,34;84.299,96C
12/07/2023;NOTA FISCAL N§ 653040 ;3152;0723-00000846;;82,41;84.382,37C
12/07/2023;NOTA FISCAL N§ 653041 ;3152;0723-00000854;;112,08;84.494,45C
12/07/2023;NOTA FISCAL N§ 647470 ;3152;0723-00000855;;154,34;84.648,79C
12/07/2023;NOTA FISCAL N§ 647472 ;3152;0723-00000856;;67,82;84.716,61C
13/07/2023;NOTA FISCAL N§ 647471 ;3152;0723-00000810;;198,67;84.915,28C
14/07/2023;NOTA FISCAL N§ 656650 ;3152;0723-00000808;;265,28;85.180,56C
14/07/2023;NOTA FISCAL N§ 660599 ;3152;0723-00000820;;133,72;85.314,28C
17/07/2023;NOTA FISCAL N§ 664144 ;3152;0723-00000811;;199,43;85.513,71C
17/07/2023;NOTA FISCAL N§ 664145 ;3152;0723-00000825;;43,53;85.557,24C
19/07/2023;NOTA FISCAL N§ 668186 ;3152;0723-00000807;;52,57;85.609,81C
19/07/2023;NOTA FISCAL N§ 668185 ;3152;0723-00000812;;163,4;85.773,21C
19/07/2023;NOTA FISCAL N§ 668184 ;3152;0723-00000817;;235,92;86.009,13C
19/07/2023;NOTA FISCAL N§ 668187 ;3152;0723-00000819;;83,2;86.092,33C
19/07/2023;NOTA FISCAL N§ 668183 ;3152;0723-00000822;;140,85;86.233,18C
19/07/2023;NOTA FISCAL N§ 668186 ;3152;0723-00000826;;1.827,31;88.060,49C
19/07/2023;NOTA FISCAL N§ 664143 ;3152;0723-00000828;;17,92;88.078,41C
19/07/2023;NOTA FISCAL N§ 668189 ;3152;0723-00000842;;97,66;88.176,07C
19/07/2023;NOTA FISCAL N§ 673583 ;3152;0723-00000844;;110,92;88.286,99C
19/07/2023;NOTA FISCAL N§ 668188 ;3152;0723-00000857;;309,78;88.596,77C
20/07/2023;NOTA FISCAL N§ 676909 ;3152;0723-00000824;;13,77;88.610,54C
20/07/2023;NOTA FISCAL N§ 676908 ;3152;0723-00000830;;142;88.752,54C
20/07/2023;NOTA FISCAL N§ 676906 ;3152;0723-00000840;;138,6;88.891,14C
20/07/2023;NOTA FISCAL N§ 676907 ;3152;0723-00000850;;149,93;89.041,07C
20/07/2023;NOTA FISCAL N§ 676910 ;3152;0723-00000858;;110,61;89.151,68C
21/07/2023;NOTA FISCAL N§ 681328 ;3152;0723-00000803;;99,44;89.251,12C
21/07/2023;NOTA FISCAL N§ 681332 ;3152;0723-00000821;;311,46;89.562,58C
21/07/2023;NOTA FISCAL N§ 681327 ;3152;0723-00000847;;214,02;89.776,60C
21/07/2023;NOTA FISCAL N§ 681330 ;3152;0723-00000849;;583,38;90.359,98C
21/07/2023;NOTA FISCAL N§ 681331 ;3152;0723-00000852;;73,56;90.433,54C
21/07/2023;NOTA FISCAL N§ 681329 ;3152;0723-00000860;;104,13;90.537,67C
25/07/2023;NOTA FISCAL N§ 688901 ;3152;0723-00000813;;212,31;90.749,98C
25/07/2023;NOTA FISCAL N§ 688902 ;3152;0723-00000862;;463,84;91.213,82C
26/07/2023;NOTA FISCAL N§ 693070 ;3152;0723-00000818;;17,06;91.230,88C
26/07/2023;NOTA FISCAL N§ 693071 ;3152;0723-00000829;;78,54;91.309,42C
27/07/2023;NOTA FISCAL N§ 695818 ;3152;0723-00000799;;916,4;92.225,82C
27/07/2023;NOTA FISCAL N§ 695817 ;3152;0723-00000801;;114,93;92.340,75C
27/07/2023;NOTA FISCAL N§ 695818 ;3152;0723-00000859;;127,24;92.467,99C
28/07/2023;NOTA FISCAL N§ 698955 ;3152;0723-00000804;;68,48;92.536,47C
28/07/2023;NOTA FISCAL N§ 698954 ;3152;0723-00000836;;475,34;93.011,81C
29/07/2023;NOTA FISCAL N§ 702218 ;3152;0723-00000809;;64,77;93.076,58C
03/08/2023;NOTA FISCAL N§ 709863 ;3152;0823-00000814;;82,13;93.158,71C
03/08/2023;NOTA FISCAL N§ 709864 ;3152;0823-00000823;;36,69;93.195,40C
03/08/2023;NOTA FISCAL N§ 713078 ;3152;0823-00000837;;197,43;93.392,83C
03/08/2023;NOTA FISCAL N§ 709863 ;3152;0823-00000848;;93,58;93.486,41C
07/08/2023;NOTA FISCAL N§ 720140 ;3152;0823-00000807;;318,77;93.805,18C
07/08/2023;NOTA FISCAL N§ 720137 ;3152;0823-00000809;;266,13;94.071,31C
07/08/2023;NOTA FISCAL N§ 720138 ;3152;0823-00000825;;369,03;94.440,34C
07/08/2023;NOTA FISCAL N§ 604279 ;3152;0823-00000830;;25,4;94.465,74C
07/08/2023;NOTA FISCAL N§ 720139 ;3152;0823-00000842;;315,99;94.781,73C
07/08/2023;NOTA FISCAL N§ 720141 ;3152;0823-00000856;;32,34;94.814,07C
08/08/2023;NOTA FISCAL N§ 720142 ;3152;0823-00000829;;24,15;94.838,22C
09/08/2023;NOTA FISCAL N§ 729661 ;3152;0823-00000811;;100,16;94.938,38C
09/08/2023;NOTA FISCAL N§ 729666 ;3152;0823-00000812;;141,58;95.079,96C
09/08/2023;NOTA FISCAL N§ 729664 ;3152;0823-00000821;;33,91;95.113,87C
09/08/2023;NOTA FISCAL N§ 729666 ;3152;0823-00000827;;2.034,99;97.148,86C
09/08/2023;NOTA FISCAL N§ 729665 ;3152;0823-00000828;;475,34;97.624,20C
09/08/2023;NOTA FISCAL N§ 729662 ;3152;0823-00000831;;78,47;97.702,67C
09/08/2023;NOTA FISCAL N§ 729667 ;3152;0823-00000833;;83,2;97.785,87C
09/08/2023;NOTA FISCAL N§ 729663 ;3152;0823-00000845;;189,7;97.975,57C
09/08/2023;NOTA FISCAL N§ 723598 ;3152;0823-00000851;;3,28;97.978,85C
09/08/2023;NOTA FISCAL N§ 723599 ;3152;0823-00000852;;12,04;97.990,89C
10/08/2023;NOTA FISCAL N§ 723597 ;3152;0823-00000810;;96,29;98.087,18C
10/08/2023;NOTA FISCAL N§ 733131 ;3152;0823-00000815;;191,67;98.278,85C
10/08/2023;NOTA FISCAL N§ 723600 ;3152;0823-00000820;;122;98.400,85C
10/08/2023;NOTA FISCAL N§ 733132 ;3152;0823-00000854;;189,7;98.590,55C
14/08/2023;NOTA FISCAL N§ 736385 ;3152;0823-00000813;;141,58;98.732,13C
14/08/2023;NOTA FISCAL N§ 740967 ;3152;0823-00000816;;3,52;98.735,65C
14/08/2023;NOTA FISCAL N§ 736386 ;3152;0823-00000826;;166,4;98.902,05C
14/08/2023;NOTA FISCAL N§ 740968 ;3152;0823-00000832;;156,75;99.058,80C
14/08/2023;NOTA FISCAL N§ 736385 ;3152;0823-00000839;;2.492,06;101.550,86C
14/08/2023;NOTA FISCAL N§ 736384 ;3152;0823-00000857;;22,5;101.573,36C
15/08/2023;NOTA FISCAL N§ 744300 ;3152;0823-00000806;;884,43;102.457,79C
15/08/2023;NOTA FISCAL N§ 744299 ;3152;0823-00000808;;157,46;102.615,25C
15/08/2023;NOTA FISCAL N§ 744301 ;3152;0823-00000847;;34,66;102.649,91C
15/08/2023;NOTA FISCAL N§ 744300 ;3152;0823-00000855;;70,25;102.720,16C
17/08/2023;NOTA FISCAL N§ 749840 ;3152;0823-00000818;;288,12;103.008,28C
18/08/2023;NOTA FISCAL N§ 752039 ;3152;0823-00000819;;3,28;103.011,56C
18/08/2023;NOTA FISCAL N§ 752036 ;3152;0823-00000838;;283,78;103.295,34C
18/08/2023;NOTA FISCAL N§ 752035 ;3152;0823-00000841;;213,73;103.509,07C
18/08/2023;NOTA FISCAL N§ 752038 ;3152;0823-00000849;;12,04;103.521,11C
18/08/2023;NOTA FISCAL N§ 752037 ;3152;0823-00000850;;17,76;103.538,87C
23/08/2023;NOTA FISCAL N§ 758058 ;3152;0823-00000834;;169,68;103.708,55C
23/08/2023;NOTA FISCAL N§ 761004 ;3152;0823-00000836;;790,26;104.498,81C
25/08/2023;NOTA FISCAL N§ 762899 ;3152;0823-00000822;;903,54;105.402,35C
26/08/2023;NOTA FISCAL N§ 762897 ;3152;0823-00000817;;41,02;105.443,37C
26/08/2023;NOTA FISCAL N§ 762898 ;3152;0823-00000843;;35,18;105.478,55C
26/08/2023;NOTA FISCAL N§ 762896 ;3152;0823-00000844;;42,84;105.521,39C
29/08/2023;NOTA FISCAL N§ 769720 ;3152;0823-00000824;;475,34;105.996,73C
29/08/2023;NOTA FISCAL N§ 769723 ;3152;0823-00000835;;1.482,56;107.479,29C
29/08/2023;NOTA FISCAL N§ 769722 ;3152;0823-00000846;;127,32;107.606,61C
29/08/2023;NOTA FISCAL N§ 769721 ;3152;0823-00000853;;169,68;107.776,29C
31/08/2023;NOTA FISCAL N§ 773680 ;3152;0823-00000840;;38,83;107.815,12C
06/09/2023;NOTA FISCAL N§ 779947 ;3152;0923-00000796;;162,34;107.977,46C
06/09/2023;NOTA FISCAL N§ 779947 ;3152;0923-00000826;;24;108.001,46C
08/09/2023;NOTA FISCAL N§ 786442 ;3152;0923-00000793;;1.111,83;109.113,29C
08/09/2023;NOTA FISCAL N§ 786443 ;3152;0923-00000801;;45,93;109.159,22C
08/09/2023;NOTA FISCAL N§ 783530 ;3152;0923-00000803;;46,26;109.205,48C
08/09/2023;NOTA FISCAL N§ 783529 ;3152;0923-00000815;;136,15;109.341,63C
08/09/2023;NOTA FISCAL N§ 786442 ;3152;0923-00000820;;141,31;109.482,94C
08/09/2023;NOTA FISCAL N§ 783532 ;3152;0923-00000821;;875,4;110.358,34C
08/09/2023;NOTA FISCAL N§ 783534 ;3152;0923-00000823;;1.402,42;111.760,76C
08/09/2023;NOTA FISCAL N§ 783531 ;3152;0923-00000829;;134,36;111.895,12C
08/09/2023;NOTA FISCAL N§ 786445 ;3152;0923-00000839;;56,7;111.951,82C
08/09/2023;NOTA FISCAL N§ 783528 ;3152;0923-00000842;;32,04;111.983,86C
08/09/2023;NOTA FISCAL N§ 786444 ;3152;0923-00000851;;48,72;112.032,58C
08/09/2023;NOTA FISCAL N§ 779946 ;3152;0923-00000855;;152,68;112.185,26C
08/09/2023;NOTA FISCAL N§ 786441 ;3152;0923-00000857;;129,56;112.314,82C
08/09/2023;NOTA FISCAL N§ 783533 ;3152;0923-00000874;;416;112.730,82C
09/09/2023;NOTA FISCAL N§ 789153 ;3152;0923-00000853;;32,52;112.763,34C
13/09/2023;NOTA FISCAL N§ 794902 ;3152;0923-00000802;;312,86;113.076,20C
13/09/2023;NOTA FISCAL N§ 791422 ;3152;0923-00000806;;353,3;113.429,50C
13/09/2023;NOTA FISCAL N§ 794901 ;3152;0923-00000830;;634,06;114.063,56C
13/09/2023;NOTA FISCAL N§ 791418 ;3152;0923-00000838;;299,31;114.362,87C
13/09/2023;NOTA FISCAL N§ 791419 ;3152;0923-00000845;;222,23;114.585,10C
