Conta:;14154 - 2.1.1.01.001 - 6M BRASIL IMPORTACAO E EXPORTACAO LTDA;;;;;
09/11/2023;NOTA FISCAL N§ 911539 ;3152;1123-00000443;;76,02;9.563,23C
09/11/2023;NOTA FISCAL N§ 911540 ;3152;1123-00000445;;245,23;9.808,46C
09/11/2023;NOTA FISCAL N§ 911539 ;3152;1123-00000446;;226,02;10.034,48C
24/11/2023;NOTA FISCAL N§ 915811 ;3152;1123-00000442;;101,36;10.135,84C
24/11/2023;NOTA FISCAL N§ 915811 ;3152;1123-00000444;;534,84;10.670,68C
24/11/2023;NOTA FISCAL N§ 915810 ;3152;1123-00000447;;686,65;11.357,33C
18/12/2023;NOTA FISCAL N§ 922218 ;3152;1223-00000216;;614,7;11.972,03C
18/01/2024;NOTA FISCAL N§ 929847 ;3152;0124-00001071;;104,92;12.076,95C
18/01/2024;NOTA FISCAL N§ 929844 ;3152;0124-00001072;;942,5;13.019,45C
18/01/2024;NOTA FISCAL N§ 929847 ;3152;0124-00001073;;595,01;13.614,46C
18/01/2024;PAGAMENTO DUPLICATA N§ 929847 ;4578;0124-00001594;;15,37;13.629,83C
18/01/2024;PAGAMENTO DUPLICATA N§ 929844 ;4578;0124-00001595;;20,71;13.650,54C
23/01/2024;PAGAMENTO DUPLICATA N§ 929844 ;92;0124-00000613;963,21;;12.687,33C
23/01/2024;PAGAMENTO DUPLICATA N§ 929847 ;92;0124-00000614;715,3;;11.972,03C
07/02/2024;NOTA FISCAL N§ 937803 ;3152;0224-00001005;;104,92;12.076,95C
07/02/2024;NOTA FISCAL N§ 937803 ;3152;0224-00001006;;373,34;12.450,29C
20/02/2024;PAGAMENTO DUPLICATA N§ 937803 ;92;0224-00000572;478,26;;11.972,03C
11/03/2024;NOTA FISCAL N§ 945407 ;3152;0324-00001163;;211,89;12.183,92C
11/03/2024;PAGAMENTO DUPLICATA N§ 945407 ;4578;0324-00001684;;0,56;12.184,48C
20/03/2024;PAGAMENTO DUPLICATA N§ 945407 ;92;0324-00000730;212,45;;11.972,03C
21/03/2024;NOTA FISCAL N§ 949954 ;3152;0324-00001160;;104,92;12.076,95C
21/03/2024;NOTA FISCAL N§ 949954 ;3152;0324-00001161;;848,95;12.925,90C
21/03/2024;NOTA FISCAL N§ 949961 ;3152;0324-00001162;;588,56;13.514,46C
21/03/2024;PAGAMENTO DUPLICATA N§ 949961 ;4578;0324-00001696;;14,89;13.529,35C
